2026-04-17 21:32:50 | pipeline             | INFO     | [stage]▶ STEP 1[/stage] — Loading targets
2026-04-17 21:32:50 | pipeline             | INFO     | Loaded 20 targets from startup_targets.json
2026-04-17 21:32:50 | pipeline             | INFO     | [stage]▶ STEP 2[/stage] — Running collectors
2026-04-17 21:32:50 | collector.yc         | INFO     | [stage]▶ YC COLLECTOR[/stage] — Starting collection
2026-04-17 21:32:51 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Notion': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Notion
2026-04-17 21:32:53 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Slack': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Slack
2026-04-17 21:32:54 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Linear': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Linear
2026-04-17 21:32:55 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Figma': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Figma
2026-04-17 21:32:56 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Vercel': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Vercel
2026-04-17 21:32:58 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Stripe': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Stripe
2026-04-17 21:33:00 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Airtable': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Airtable
2026-04-17 21:33:01 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Canva': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Canva
2026-04-17 21:33:02 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Calendly': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Calendly
2026-04-17 21:33:03 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Loom': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Loom
2026-04-17 21:33:05 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Miro': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Miro
2026-04-17 21:33:06 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Retool': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Retool
2026-04-17 21:33:07 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Webflow': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Webflow
2026-04-17 21:33:09 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Supabase': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Supabase
2026-04-17 21:33:10 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Plaid': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Plaid
2026-04-17 21:33:11 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Intercom': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Intercom
2026-04-17 21:33:12 | collector.yc         | ERROR    | [error]✗[/error] Failed to search YC for 'Zapier': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Zapier
